Code,Description
"1006501","Silver Salmon Creek, AK: Silver Salmon Creek Airport"
"1006601","Blear Lake, AK: Blear Lake Airport"
"1006701","Cannery Bay, AK: Cannery Bay Airport"
"1006901","Bear Lake, AK: Johnsons Landing"
"1007001","International Seafoods, AK: International Seafoods Airport"
"1007002","International Seafoods, AK: International Seafoods Airport"
"1007101","Cosna River, AK: Cosna River Airport"
"1007201","Ivatuk, AK: Ivatuk Airport"
"1007401","Cape Sarichef, AK: Cape Sarichef AFS"
"1007402","Cape Sarichef, AK: Cape Sarichef Airport"
"1007501","Taylor Mountain Mine, AK: Taylor Mountain"
"1007601","Yukon Charley Rivvers, AK: Coal Creek"
"1007602","Yukon Charley Rivvers, AK: Coal Creek"
"1007801","Karluk Portage, AK: Karluk Portage Airport"
"1007901","Hope, AK: Hope Airport"
"1007902","Hope, AK: Hope Airport"
"1008001","Viekoda Bay, AK: Viekoda Bay Airport"
"1008201","Cold Bay, AK: Cathedral Strip"
"1008301","Village Islands, AK: Village Islands Airport"
"1008401","Homer, AK: Bear Cove Farm"
"1008501","Chinitna Bay, AK: Chinitna Bay Airport"
"1008601","McKinley Park, AK: McKinley National Park"
"1008701","Nanwalek, AK: Dog Fish Bay"
"1008801","Malina Bay, AK: Malina Bay Airport"
"1008901","Red Fox Bay, AK: Red Fox Bay Airport"
"1009001","Shearwater, AK: Shearwater Airport"
"1009101","Cape Simpson, AK: Lake"
"1009201","Cape Simpson, AK: Cape Simpson No. 1"
"1009301","Cape Simpson, AK: Cape Simpson No. 7"
"1009401","Aglaq, AK: Cape Simpson #1"
"1009501","Nikiski, AK: Nikiski Private Airstrip"
"1009601","Petrof Point, AK: Petrof Point Airport"
"1009701","Denali, AK: Denali West Lodge Private"
"1009801","Big River, AK: Big River Airport"
"1010001","Carry Inlet, AK: Carry Inlet Airport"
"1010201","Montague Island, AK: Montague Island Airport"
"1010301","Shannon Pond, AK: Shannon Pond Airport"
"1010401","Omalik Lagoon, AK: Omalik Lagoon Airport"
"1010501","Omolik Lagoon, AK: Omolik Lagoon Airport"
"1010601","Bradley Lake Project, AK: Bradley Lake Project Airport"
"1010701","Barrow, AK: Ice Strip"
"1010801","Barrow, AK: Ice Strip"
"1010901","Barrow, AK: Ice Strip"
"1011001","Akulik, AK: Akulik Air Strip"
"1011101","Deadfall, AK: Deadfall Air Strip"
"1011201","Eagle Creek, AK: Eagle Creek Airport"
"1011301","Bethel, AK: Ice Kong"
"1011601","Kachemak Bay, AK: Glacier Split"
"1011701","Selby Lake, AK: Selby Lake Airport"
"1011801","Anaa, French Polynesia: Anaa Airport"
"1011802","Anaa, French Polynesia: Anaa Airport"
"1011901","Arrabury, Australia: Arrabury Station"
"1012001","El Arish, Egypt: El Arish International"
"1012002","El Arish, Egypt: El Arish International"
"1012101","Annaba, Algeria: Rabah Bitat"
"1012102","Annaba, Algeria: Rabah Bitat"
"1012201","Apalachicola, FL: Apalachicola Regional"
"1012301","Aachen, West Germany: Aachen/Merzbruck"
"1012302","Aachen, Germany: Aachen/Merzbruck"
"1012303","Aachen, Germany: Aachen/Merzbruck"
"1012401","Arraias, Brazil: Arraias Airport"
"1012402","Arraias, Brazil: Arraias Airport"
"1012403","Arraias, Brazil: Arraias Airport"
"1012501","Aalborg, Denmark: Aalborg Airport"
"1012502","Aalborg, Denmark: Aalborg Airport"
"1012601","Mala Mala, South Africa: Malamala"
"1012602","Mala Mala, South Africa: Malamala"
"1012701","Al Ain, United Arab Emirates: Al Ain International"
"1012702","Al Ain, United Arab Emirates: Al Ain International"
"1012801","Anaco, Venezuela: Anaco Airport"
"1012802","Anaco, Venezuela: Anaco Airport"
"1012803","Anaco, Venezuela: Anaco Airport"
"1012901","Anapa, Russia: Vityazevo"
"1012902","Anapa, Russia: Vityazevo"
"1013001","Aarhus, Denmark: Tirstrup"
"1013002","Aarhus, Denmark: Tirstrup"
"1013003","Aarhus, Denmark: Aarhus Airport"
"1013101","Asau, Samoa: Asau W Sam"
"1013201","Araxa, Brazil: Araxa Airport"
"1013202","Araxa, Brazil: Araxa Airport"
"1013401","Abadan, Iran: Abadan Airport"
"1013402","Abadan, Iran: Abadan Airport"
"1013403","Abadan, Iran: Abadan Airport"
"1013501","Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
"1013502","Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
"1013503","Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
"1013601","Abilene, TX: Abilene Regional"
"1013602","Abilene, TX: Abilene Regional"
"1013603","Abilene, TX: Abilene Regional"
"1013701","Abidjan, Cote d'Ivoire: Abidjan Felix Houphouet Boigny International"
"1013702","Abidjan, Cote d'Ivoire: Abidjan Felix Houphouet Boigny International"
"1013801","Kabri Dar, Ethiopia: Kabri Dar Airport"
"1013802","Kabri Dar, Ethiopia: Kebri Dahar"
"1013901","Ambler, AK: Ambler River"
"1014001","Albuquerque, NM: Albuquerque International Sunport"
"1014002","Albuquerque, NM: Albuquerque International Sunport"
"1014101","Aberdeen, SD: Aberdeen Regional"
"1014102","Aberdeen, SD: Aberdeen Regional"
"1014201","Abu Simbel, Egypt: Abu Simbel Airport"
"1014202","Abu Simbel, Egypt: Abu Simbel Airport"
"1014301","Al-Baha, Saudi Arabia: Al-Baha Airport"
"1014302","Al-Baha, Saudi Arabia: Al-Baha Airport"
"1014401","Abuja, Nigeria: Abuja Nnamdi Azikiwe International"
"1014402","Abuja, Nigeria: Abuja Nnamdi Azikiwe International"
"1014501","Albury, Australia: Albury Airport"
"1014502","Albury, Australia: Albury Airport"
"1014601","Albany, GA: Southwest Georgia Regional"
"1014602","Albany, GA: Southwest Georgia Regional"
"1014701","Aberdeen, United Kingdom: Aberdeen Dyce"
"1014702","Aberdeen, United Kingdom: Aberdeen Dyce"
"1014703","Aberdeen, United Kingdom: Aberdeen Dyce"
"1014801","Acapulco, Mexico: General Juan N Alvarez International"
"1014802","Acapulco, Mexico: General Juan N Alvarez International"
"1014901","Bellaire, MI: Antrim County"
"1014902","Bellaire, MI: Antrim County"
"1015001","Accra, Ghana: Accra Kotoka International"
"1015002","Accra, Ghana: Accra Kotoka International"
"1015101","Arrecife, Spain: Lanzarote"
"1015102","Arrecife, Spain: Lanzarote"
"1015201","Altenrhein, Switzerland: St Gallen Altenrhein"
"1015202","Altenrhein, Switzerland: St Gallen Altenrhein"
"1015301","Alderney, United Kingdom: Alderney Airport"
"1015302","Alderney, United Kingdom: Alderney Airport"
"1015303","Alderney, United Kingdom: Alderney Airport"
"1015401","Nantucket, MA: Nantucket Memorial"
"1015402","Nantucket, MA: Nantucket Memorial"
"1015501","Waco, TX: Waco Regional"
"1015502","Waco, TX: Waco Regional"
"1015601","Achutupo, Panama: Achutupo Airport"
"1015701","Arcata/Eureka, CA: Arcata"
"1015702","Arcata/Eureka, CA: Arcata"
"1015703","Arcata/Eureka, CA: Arcata"
"1015801","Atlantic City, NJ: Nafec Atlantic City"
"1015802","Atlantic City, NJ: Nafec Atl"
"1015803","Atlantic City, NJ: Atlantic City International"
"1015804","Atlantic City, NJ: Atlantic City International"
"1015901","Adana, Turkey: Adana Sakirpasa"
"1015902","Adana, Turkey: Adana International"
"1016001","Izmir, Turkey: Adnan Menderes"
"1016002","Izmir, Turkey: Adnan Menderes"
"1016101","Andakombe, Papua New Guinea: Andakombe Airport"
"1016102","Andakombe, Papua New Guinea: Andakombe Airport"
"1016201","Addis Ababa, Ethiopia: Haile Selassie I International"
"1016202","Addis Ababa, Ethiopia: Bole International"
"1016301","Aden, South Yemen: Aden International"
"1016302","Aden, Yemen: Aden International"
"1016303","Aden, Yemen: Aden International"
"1016401","Amman, Jordan: King Abdullah Ben"
"1016402","Amman, Jordan: Marka International"
"1016403","Amman, Jordan: Marka International"
"1016501","Adak Island, AK: Adak NS"
"1016502","Adak Island, AK: Adak"
"1016601","Adelaide, Australia: Adelaide International"
"1016602","Adelaide, Australia: Adelaide International"
"1016701","Ardmore, OK: Ardmore Municipal"
"1016702","Ardmore, OK: Ardmore Municipal"
"1016801","Andes, Colombia: Andes Airport"
"1016802","Andes, Colombia: Andes Airport"
"1016901","Andamooka, Australia: Andamooka Airport"
"1017001","Kodiak, AK: Kodiak Airport"
"1017101","Dallas, TX: Addison"
"1017102","Dallas, TX: Addison"
"1017201","Camp Springs, MD: Andrews AFB"
"1017202","Camp Springs, MD: Andrews AFB"
"1017203","Camp Springs, MD: Joint Base Andrews"
"1017301","St Andrews, United Kingdom: RAF Leuchars"
"1017401","San Andres Island, Colombia: San Andres"
"1017402","San Andres Island, Colombia: Sesquicentenario"
"1017403","San Andres Island, Colombia: Gustavo Rojas Pinilla"
"1017501","Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
"1017601","Aleneva, AK: Aleneva Airport"
"1017701","Padang Sidempuan, Indonesia: Aek Godang"
"1017801","Abeche, Chad: Abeche Airport"
"1017802","Abeche, Chad: Abeche Airport"
"1017803","Abeche, Chad: Abeche Airport"
"1018001","Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
"1018002","Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
"1018101","Buenos Aires, Argentina: Aeroparque Jorge Newbery"
"1018102","Buenos Aires, Argentina: Aeroparque Jorge Newbery"
"1018201","Adler/Sochi, U.S.S.R.: Adler/Sochi Airport"
"1018202","Adler/Sochi, Russia: Adler/Sochi Airport"
"1018301","Aalesund, Norway: Vigra"
"1018302","Aalesund, Norway: Vigra"
"1018303","Aalesund, Norway: Vigra"
"1018401","Allakaket, AK: Allakaket Airport"
"1018402","Allakaket, AK: Allakaket Airport"
"1018501","Alexandria, LA: England AFB"
"1018502","Alexandria, LA: Alexandria International"
"1018601","Akureyri, Iceland: Akureyri Airport"
"1018602","Akureyri, Iceland: Akureyri Airport"
"1018603","Akureyri, Iceland: Akureyri Airport"
"1018801","San Rafael, Argentina: San Rafael Airport"
"1018802","San Rafael, Argentina: San Rafael Airport"
"1018901","Colorado Springs, CO: USAF Academy Airfield"
"1018902","Colorado Springs, CO: USAF Academy Airfield"
"1019001","Nebraska, NE: Nebraska City Municipal"
"1019002","Nebraska, NE: Nebraska City Municipal"
"1019003","Nebraska, NE: Nebraska City Municipal"
"1019101","Afton, WY: Afton Municipal"
"1019102","Afton, WY: Afton Municipal"
"1019201","Wadesboro, NC: Anson County"
"1019202","Wadesboro, NC: Anson County"
"1019401","Dallas/Fort Worth, TX: Fort Worth Alliance"
"1019402","Dallas/Fort Worth, TX: Fort Worth Alliance"
"1019501","Afyon, Turkey: Afyon Airport"
"1019502","Afyon, Turkey: Afyon Airport"
"1019601","Agadir, Morocco: Agadir/Inezgane"
"1019602","Agadir, Morocco: Inezgane"
"1019701","Augsburg, West Germany: Muehlhausen"
"1019702","Augsburg, Germany: Augsburg Airport"
"1019703","Augsburg, Germany: Augsburg Airport"
"1019801","Pittsburgh, PA: Allegheny County"
"1019802","Pittsburgh, PA: Allegheny County"
"1019803","Pittsburgh, PA: Allegheny County"
"1019901","Agen, France: La Garenne"
"1019902","Agen, France: La Garenne"
"1020001","Angoram, Papua New Guinea: Angoram Airport"
"1020101","Angelholm/Helsingborg, Sweden: Angelholm-Helsingborg"
"1020102","Angelholm/Helsingborg, Sweden: Angelholm-Helsingborg"
"1020103","Angelholm/Helsingborg, Sweden: Angelholm"
"1020201","Kagua, Papua New Guinea: Kagua Airport"
"1020301","Wanigela, Papua New Guinea: Wanigela Airport"
"1020302","Wanigela, Papua New Guinea: Wanigela Airport"
"1020401","Angoon, AK: Angoon Seaplane Base"
"1020501","Malaga, Spain: Malaga Airport"
"1020502","Malaga, Spain: Malaga Airport"
"1020503","Malaga, Spain: Malaga Airport"
"1020601","Agrinion, Greece: Agrinion New"
"1020602","Agrinion, Greece: Agrinion Airport"
"1020701","Agra, India: Agra Airport"
"1020702","Agra, India: Agra Airport"
"1020801","Augusta, GA: Bush Field"
"1020802","Augusta, GA: Augusta Regional at Bush Field"
"1020803","Augusta, GA: Augusta Regional at Bush Field"
"1020901","Ciudad del Este, Paraguay: Guarani International"
"1021001","Aguascalientes, Mexico: Jesus Teran International"
"1021002","Aguascalientes, Mexico: Jesus Teran International"
"1021101","Acarigua, Venezuela: Oswaldo Guevara Mujica"
"1021102","Acarigua, Venezuela: Oswaldo Guevara Mujica"
"1021201","Agatti Island, India: Agatti Island Airport"
"1021301","Okinawa, Japan: Naha AB"
"1021401","Abha, Saudi Arabia: Abha Airport"
"1021402","Abha, Saudi Arabia: Abha Airport"
"1021501","Ardmore, OK: Ardmore Airport"
"1021502","Ardmore, OK: Ardmore Downtown Executive"
"1021601","Athens, GA: Athens Municipal"
"1021602","Athens, GA: Athens/Ben Epps"
"1021701","Alghero/Sassari, Italy: Alghero"
"1021702","Alghero/Sassari, Italy: Alghero"
"1021801","Ahuas, Honduras: Ahuas Airport"
"1021802","Ahuas, Honduras: Ahuas Airport"
"1021901","Amchitka Island, AK: Amchitka"
"1022001","Al Hoceima, Morocco: Cherif El Idrissi International"
"1022002","Al Hoceima, Morocco: Cherif El Idrissi International"
"1022101","Alliance, NE: Alliance Municipal"
"1022102","Alliance, NE: Alliance Municipal"
"1022201","Anita Bay, AK: Anita Bay Airport"
"1022301","Anderson, IN: Anderson Municipal-Darlington Field"
"1022302","Anderson, IN: Anderson Municipal-Darlington Field"
"1022401","Aiken, SC: Aiken Municipal"
"1022402","Aiken, SC: Aiken Municipal"
"1022501","Wainwright, AK: Wainwright Airport"
"1022502","Wainwright, AK: Wainwright Airport"
"1022601","Aitutaki, Cook Islands: Aitutaki Airport"
"1022602","Aitutaki, Cook Islands: Aitutaki Airport"
"1022701","Atlantic City, NJ: Bader Field"
"1022702","Atlantic City, NJ: Bader Field"
"1022801","Lake of the Ozarks, MO: Lee C Fine Memorial"
"1022802","Lake of the Ozarks, MO: Lee C Fine Memorial"
"1022901","Ajaccio, France: Ajaccio/Campo Dell Oro"
"1022902","Ajaccio, France: Napoleon Bonaparte"
"1023001","Jouf, Saudi Arabia: Al Jouf"
"1023002","Jouf, Saudi Arabia: Al Jouf"
"1023101","Akjoujt, Mauritania: Akjoujt Airport"
"1023102","Akjoujt, Mauritania: Akjoujt Airport"
"1023201","Aizwal, India: Lengpui"
"1023301","Anjouan, Comoros: Ouani"
"1023302","Anjouan, Comoros: Ouani"
"1023303","Anjouan, Comoros: Ouani"
"1023401","Arvidsjaur, Sweden: Arvidsjaur Airport"
"1023402","Arvidsjaur, Sweden: Arvidsjaur Airport"
"1023501","Aracaju, Brazil: Santa Maria"
"1023601","Agades, Niger: Manu Dayak"
"1023602","Agades, Niger: Manu Dayak"
"1023701","Atka, AK: Atka Airport"
"1023702","Atka, AK: Atka Airport"
"1023801","Akron, OH: Akron Fulton International"
"1023901","Kufrah, Libya: Kufra"
"1023902","Kufrah, Libya: Kufra"
"1023903","Kufrah, Libya: Kufra"
"1024101","Akiak, AK: Akiak Airport"
"1024102","Akiak, AK: Akiak Airport"
"1024201","Asahikawa, Japan: Asahikawa Airport"
"1024202","Asahikawa, Japan: Asahikawa Airport"
"1024203","Asahikawa, Japan: Asahikawa Airport"
"1024301","Akhiok, AK: Akhiok Airport"
"1024302","Akhiok, AK: Akhiok Airport"
"1024401","Auckland, New Zealand: Auckland International"
"1024402","Auckland, New Zealand: Auckland International"
"1024501","King Salmon, AK: King Salmon Airport"
"1024502","King Salmon, AK: King Salmon Airport"
"1024601","Akron, CO: Akron Washington County"
"1024602","Akron, CO: Colorado Plains Regional"
"1024701","Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
"1024702","Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
"1024801","Akure, Nigeria: Akure Airport"
"1024802","Akure, Nigeria: Akure Airport"
"1024901","Auki, Solomon Islands: Auki Airport"
"1024902","Auki, Solomon Islands: Auki Airport"
"1025001","Akrotiri, Cyprus: Akrotiri Airport"
"1025002","Akrotiri, Cyprus: Akrotiri Airport"
"1025101","Aktyubinsk, U.S.S.R.: Aktyubinsk Airport"
"1025102","Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
"1025201","Akyab, Burma: Akyab Airport"
"1025202","Sittwe, Burma: Sittwe Airport"
"1025203","Sittwe, Burma: Sittwe Airport"
"1025301","Albertville, AL: Albertville Regional-Thomas J Brumlik Field"
"1025401","Alabaster, AL: Shelby County"
"1025402","Alabaster, AL: Shelby County"
"1025501","Huntsville, AL: Madison County Executive/Tom Sharp Jr. Field"
"1025601","Alma-Ata, U.S.S.R.: Alma-Ata Airport"
"1025602","Almaty, Kazakhstan: Almaty Airport"
"1025603","Almaty, Kazakhstan: Almaty Airport"
"1025701","Albany, NY: Albany International"
"1025702","Albany, NY: Albany International"
"1025801","Alicante, Spain: Alicante Airport"
"1025802","Alicante, Spain: Alicante Airport"
"1025901","Alpine, TX: Alpine Casparis Municipal"
"1025902","Alpine, TX: Alpine Casparis Municipal"
"1026001","Alta, Norway: Alta Airport"
"1026002","Alta, Norway: Alta Airport"
"1026101","Algiers, Algeria: Houari Boumediene"
"1026102","Algiers, Algeria: Houari Boumediene"
"1026201","Albany, Australia: Albany Airport"
"1026202","Albany, Australia: Albany Airport"
"1026301","Alice, TX: Alice International"
"1026302","Alice, TX: Alice International"
"1026401","Alexander Bay, South Africa: Alexander Bay Airport"
"1026402","Alexander Bay, South Africa: Alexander Bay Airport"
"1026501","Asela, Ethiopia: Asela Airport"
"1026601","Alamogordo, NM: Alamogordo White Sands Regional"
"1026602","Alamogordo, NM: Alamogordo White Sands Regional"
"1026603","Alamogordo, NM: Alamogordo White Sands Regional"
"1026701","Alton, IL: St. Louis Regional"
"1026702","Alton, IL: St. Louis Regional"
"1026801","Waterloo, IA: Waterloo Regional"
"1026802","Waterloo, IA: Waterloo Regional"
"1026901","Aleppo, Syria: Neirab"
"1026902","Aleppo, Syria: Aleppo International"
"1027001","Alegrete, Brazil: Alegrete Airport"
"1027101","Alexandra, New Zealand: Alexandra Airport"
"1027102","Alexandra, New Zealand: Alexandra Airport"
"1027201","Alamosa, CO: Alamosa Municipal"
"1027202","Alamosa, CO: San Luis Valley Regional/Bergman Field"
"1027301","Alenquer, Brazil: Alenquer Airport"
"1027401","Alula, Somalia: Alula Airport"
"1027501","Walla Walla, WA: Walla Walla Regional"
"1027502","Walla Walla, WA: Walla Walla Regional"
"1027601","Alexander City, AL: Thomas C. Russell Field"
"1027602","Alexander City, AL: Thomas C. Russell Field"
"1027701","Alexandria, Egypt: Alexandria International"
"1027702","Alexandria, Egypt: Alexandria International"
"1027801","Lazy Bay, AK: Alitak Seaplane Base"
"1027901","Amarillo, TX: Amarillo International"
"1027902","Amarillo, TX: Rick Husband Amarillo International"
"1027903","Amarillo, TX: Rick Husband Amarillo International"
"1028001","Ahmedabad, India: Ahmedabad Airport"
"1028002","Ahmedabad, India: Ahmedabad Airport"
"1028101","Ama, Papua New Guinea: Ama Airport"
"1028201","Amboin, Papua New Guinea: Amboin Airport"
"1028301","Arba Minch, Ethiopia: Arba Minch Airport"
"1028302","Arba Minch, Ethiopia: Arba Minch Airport"
"1028401","Mataram, Indonesia: Rembiga"
"1028402","Mataram, Indonesia: Selaparang"
"1028403","Mataram, Indonesia: Selaparang"
"1028501","Durango, CO: Animas Air Park"
"1028502","Durango, CO: Animas Air Park"
"1028601","Puerto Armuelles, Panama: Puerto Armuelles Airport"
"1028602","Puerto Armuelles, Panama: Puerto Armuelles Airport"
"1028701","Amman, Jordan: Amman Airport"
"1028702","Amman, Jordan: Queen Alia International"
"1028703","Amman, Jordan: Queen Alia International"
"1028801","Alma, MI: Gratiot Community"
"1028802","Alma, MI: Gratiot Community"
"1028901","Mao, Chad: Mao Airport"
"1028902","Mao, Chad: Mao Airport"
"1029001","Ampanihy, Madagascar: Ampanihy Airport"
"1029002","Ampanihy, Madagascar: Ampanihy Airport"
"1029101","Ambon, Indonesia: Pattimura"
"1029201","Amsterdam, Netherlands: Schiphol"
"1029202","Amsterdam, Netherlands: Schiphol"
"1029401","Ames, IA: Ames Municipal"
"1029402","Ames, IA: Ames Municipal"
"1029501","Ammaroo, Australia: Ammaroo Station"
"1029601","Ambatomainty, Madagascar: Ambatomainty Airport"
"1029602","Ambatomainty, Madagascar: Ambatomainty Airport"
"1029701","Anaheim, CA: Anaheim-Disneyland HP"
"1029801","Anniston, AL: Anniston/Calhoun County"
"1029802","Anniston, AL: Anniston Metro"
"1029803","Anniston, AL: Anniston Regional"
"1029901","Anchorage, AK: Anchorage International"
"1029902","Anchorage, AK: Ted Stevens Anchorage International"
"1029903","Anchorage, AK: Ted Stevens Anchorage International"
"1029904","Anchorage, AK: Ted Stevens Anchorage International"
"1030001","Anderson, SC: Anderson Regional"
"1030002","Anderson, SC: Anderson Regional"
"1030101","Angers, France: Avrille"
"1030102","Angers, France: Angers Marce"
"1030201","Antofagasta, Chile: Cerro Moreno International"
"1030202","Antofagasta, Chile: Cerro Moreno International"
"1030301","Angouleme, France: Brie-Champniers"
"1030302","Angouleme, France: Brie-Champniers"
"1030303","Angouleme, France: Angouleme Airport"
"1030401","Aniak, AK: Aniak Airport"
"1030501","Ankara, Turkey: Etimesgut"
"1030502","Ankara, Turkey: Etimesgut"
"1030503","Ankara, Turkey: Etimesgut"
"1030601","Antalaha, Madagascar: Antsirabato"
"1030602","Antalaha, Madagascar: Antsirabato"
"1030701","Annette, AK: Annette Island"
"1030702","Annette, AK: Annette Island"
"1030801","Angoche, Mozambique: Angoche Airport"
"1030802","Angoche, Mozambique: Angoche Airport"
"1030901","Annapolis, MD: Lee"
"1030902","Annapolis, MD: Lee"
"1031001","Antwerp, Belgium: Antwerp-Brussels North"
"1031002","Antwerp, Belgium: Deurne"
"1031101","Andahuaylas, Peru: Andahuaylas Airport"
"1031102","Andahuaylas, Peru: Andahuaylas Airport"
"1031201","St. Johns, Antigua and Barbuda - UK: Antigua"
"1031202","St. Johns, Antigua and Barbuda: V C Bird International"
"1031203","St. Johns, Antigua and Barbuda: V C Bird International"
"1031204","St. Johns, Antigua and Barbuda: V C Bird International"
"1031301","Anvik, AK: Anvik Airport"
"1031302","Anvik, AK: Anvik Airport"
"1031401","Andeness, Norway: Andoya"
"1031402","Andeness, Norway: Andoya"
"1031701","Lima, OH: Lima Allen County"
"1031702","Lima, OH: Lima Allen County"
"1031801","Ancona, Italy: Ancona/Falconara"
"1031802","Ancona, Italy: Falconara"
"1031901","Aomori, Japan: Aomori Airport"
"1031902","Aomori, Japan: Aomori Airport"
"1032001","Karpathos, Greece: Karpathos Airport"
"1032002","Karpathos, Greece: Karpathos Airport"
"1032101","Paso de Los Libres, Argentina: Paso de Los Libres Airport"
"1032102","Paso de Los Libres, Argentina: Paso de Los Libres Airport"
"1032201","Altoona, PA: Altoona-Blair County"
"1032202","Altoona, PA: Altoona-Blair County"
"1032301","Alor Setar, Malaysia: Sultan Abdul Halim"
"1032302","Alor Setar, Malaysia: Sultan Abdul Halim"
"1032401","Amook Bay, AK: Amook Bay Airport"
"1032501","Denver, CO: Arapahoe County"
"1032502","Denver, CO: Centennial"
"1032503","Denver, CO: Centennial"
"1032504","Denver, CO: Centennial"
"1032601","Apolo, Bolivia: Apolo Airport"
"1032602","Apolo, Bolivia: Apolo Airport"
"1032701","Napa, CA: Napa County"
"1032702","Napa, CA: Napa County"
"1032801","San Juan Aposento, Peru: San Juan Aposento Airport"
"1032901","Naples, FL: Naples Municipal"
"1032902","Naples, FL: Naples Municipal"
"1033001","Aberdeen, MD: Phillips AAF"
"1033002","Aberdeen, MD: Phillips AAF"
"1033101","Apataki, French Polynesia: Apataki Airport"
"1033102","Apataki, French Polynesia: Apataki Airport"
"1033201","Nampula, Mozambique: Nampula Airport"
"1033202","Nampula, Mozambique: Nampula Airport"
"1033301","Alpena, MI: Phelps/Collins"
"1033302","Alpena, MI: Alpena County Regional"
"1033401","Apartado, Colombia: Apartado Airport"
"1033501","April River, Papua New Guinea: April River Airport"
"1033601","Jasper, TN: Marion County Brown Field"
"1033701","Apple Valley, CA: Calf Apple Valley"
"1033702","Apple Valley, CA: Apple Valley Airport"
